2021-11-05 13:18:10
2021-11-05 18:42:16

step :5000 |ssim:0.5703| psnr:18.9811
 model saved at step :5000| max_psnr:18.9811|max_ssim:0.5703
step :10000 |ssim:0.6692| psnr:21.3969
 model saved at step :10000| max_psnr:21.3969|max_ssim:0.6692
step :15000 |ssim:0.7531| psnr:23.4694
 model saved at step :15000| max_psnr:23.4694|max_ssim:0.7531
step :20000 |ssim:0.7389| psnr:23.4406
step :25000 |ssim:0.7496| psnr:23.7129
step :30000 |ssim:0.7764| psnr:24.4308
 model saved at step :30000| max_psnr:24.4308|max_ssim:0.7764
step :35000 |ssim:0.7670| psnr:24.7439
step :40000 |ssim:0.7920| psnr:25.2540
 model saved at step :40000| max_psnr:25.2540|max_ssim:0.7920
step :45000 |ssim:0.8180| psnr:25.0290
step :50000 |ssim:0.8281| psnr:26.0290
 model saved at step :50000| max_psnr:26.0290|max_ssim:0.8281
step :55000 |ssim:0.8347| psnr:25.3209
step :60000 |ssim:0.8348| psnr:26.1602
 model saved at step :60000| max_psnr:26.1602|max_ssim:0.8348
step :65000 |ssim:0.8377| psnr:26.1019
step :70000 |ssim:0.8377| psnr:26.4202
 model saved at step :70000| max_psnr:26.4202|max_ssim:0.8377
step :75000 |ssim:0.8440| psnr:26.4464
 model saved at step :75000| max_psnr:26.4464|max_ssim:0.8440
step :80000 |ssim:0.8558| psnr:26.8772
 model saved at step :80000| max_psnr:26.8772|max_ssim:0.8558
step :85000 |ssim:0.8546| psnr:27.0555
step :90000 |ssim:0.8594| psnr:27.2494
 model saved at step :90000| max_psnr:27.2494|max_ssim:0.8594
step :95000 |ssim:0.8440| psnr:27.0469
step :100000 |ssim:0.8464| psnr:26.2834
step :105000 |ssim:0.8541| psnr:27.0476
step :110000 |ssim:0.8659| psnr:27.3878
 model saved at step :110000| max_psnr:27.3878|max_ssim:0.8659
step :115000 |ssim:0.8591| psnr:26.7756
step :120000 |ssim:0.8701| psnr:27.4867
 model saved at step :120000| max_psnr:27.4867|max_ssim:0.8701
step :125000 |ssim:0.8625| psnr:27.3693
